,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer
0,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,3.12E-11,gm/m2Pas,1E-04,,,,,,fish gelatin,individual,None,,"[‘GLY’, ’20.0’, ‘%’]"
1,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,8.1E-12,gm/m2Pas,,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.09’, ’%’]","[‘GLY’, ’20.0’, ‘%’]"
2,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,1.12E-11,gm/m2Pas,,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.05’, ’%’]","[‘GLY’, ’20.0’, ‘%’]"
3,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,1.37E-11,gm/m2Pas,,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.05’, ’%’]","[‘GLY’, ’20.0’, ‘%’]"
4,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,1.56E-11,gm/m2Pas,,,,,,,fish gelatin,nanocomposite,montmorillonite,,glycerol
5,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,,,1.24E-11,gm/m2Pas,,,,,,,fish gelatin,nanocomposite,montmorillonite,,glycerol
6,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",4.60107282214363E-12,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,fish gelatin,individual,None,,"[‘GLY’, ’20.0’, ‘%’]"
7,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",1.30675951055917E-12,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.09’, ’%’]","[‘GLY’, ’20.0’, ‘%’]"
8,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",2.24342279609983E-12,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,,glycerol
9,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",1.95671244894043E-12,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,,glycerol
