Base Material,Type,Secondary Material,WVTR_Updated_Num,OTR_Updated_Num,WVTR_Updated_Unit,OTR_Updated_Unit
fish gelatin,individual,None,2731.3977600000003,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,709.11288,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,980.5017600000001,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,1199.36376,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,1365.6988800000001,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,1085.5555200000001,,g/m2day,
fish gelatin,individual,None,,4.027999999999997,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,1.1440000000000043,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,1.9640000000000037,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,1.7130000000000016,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,2.1420000000000043,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,1.899000000000003,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,2.480000000000002,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,,2.0730000000000026,,cm3/m2day
fish gelatin,nanocomposite,montmorillonite,1076.80104,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,1146.8368799999998,,g/m2day,
fish gelatin,nanocomposite,montmorillonite,1208.11824,,g/m2day,
polylactic acid,individual,None,2203.925034965035,,g/m2day,
polylactic acid,nanocomposite,NaMMT,2259.2206451612906,,g/m2day,
polylactic acid,nanocomposite,OMMT,1879.1181818181817,,g/m2day,
polylactic acid,nanocomposite,OMMT,1197.1048751486328,,g/m2day,
polylactic acid,individual,None,1904.0994,,g/m2day,
polylactic acid,individual,None,4463.4438512035,,g/m2day,
fruit,coated,galactomannans,,,,
fruit,coated,galactomannans,,,,
fruit,coated,galactomannans,,,,
fruit,coated,galactomannans,182385.0,,g/m2day,
fruit,coated,galactomannans,188804.95199999996,,g/m2day,
fruit,coated,galactomannans,180342.28799999997,,g/m2day,
locust bean gum,individual,None,52526.880000000005,,g/m2day,
locust bean gum,individual,None,93381.12,,g/m2day,
corn starch,individual,None,253879.91999999995,,g/m2day,
fruit,coated,galactomannans,,2021.678376487054,,cm3/m2day
fruit,coated,galactomannans,,878.1027291812456,,cm3/m2day
fruit,coated,galactomannans,,837.2607417774669,,cm3/m2day
polypropylene,individual,None,,1552.0624707659733,,cm3/m2day
polypropylene,nanocomposite,NaMMT,,309.19039771923997,,cm3/m2day
PHBV,individual,None,525.2688,,g/m2day,
PHBV,blend,wheat straw fibres,1820.9318400000002,,g/m2day,
