Unnamed: 0,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer,OTR_temperature_Num,OTR_RH_Num
0,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,2731.3977600000003,g/m2day,2695.68,gum/m2daykPa,0.0001,,,,,,fish gelatin,individual,None,None,"[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
1,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,709.11288,g/m2day,699.84,gum/m2daykPa,0.0001,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.09’, ’%’]","[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
2,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,980.5017600000001,g/m2day,967.6800000000001,gum/m2daykPa,0.0001,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.05’, ’%’]","[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
3,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,1199.36376,g/m2day,1183.68,gum/m2daykPa,0.0001,,,,,,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.05’, ’%’]","[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
4,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,1365.6988800000001,g/m2day,1347.84,gum/m2daykPa,0.0001,,,,,,fish gelatin,nanocomposite,montmorillonite,None,glycerol,23.0,50.0
5,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",,,,,,,1085.5555200000001,g/m2day,1071.3600000000001,gum/m2daykPa,0.0001,,,,,,fish gelatin,nanocomposite,montmorillonite,None,glycerol,23.0,50.0
6,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",402.79999999999967,cm3um/m2dayatm,4.027999999999997,cm3/m2day,,,,,,,0.0001,,23.0,°C,50.0,%,fish gelatin,individual,None,None,"[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
7,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",114.40000000000043,cm3um/m2dayatm,1.1440000000000043,cm3/m2day,,,,,,,0.0001,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,"[‘MMT’, ‘0.09’, ’%’]","[‘GLY’, ’20.0’, ‘%’]",23.0,50.0
8,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",196.40000000000038,cm3um/m2dayatm,1.9640000000000037,cm3/m2day,,,,,,,0.0001,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,None,glycerol,23.0,50.0
9,"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",171.30000000000015,cm3um/m2dayatm,1.7130000000000016,cm3/m2day,,,,,,,0.0001,,23.0,°C,50.0,%,fish gelatin,nanocomposite,montmorillonite,None,glycerol,23.0,50.0
